"Gender" "HeartRate" "Temperature"
"1" "M" 69 97
"2" "M" 72 98.8
"3" "M" 68 96.2
"4" "F" 75 97.8
"5" "F" 68 98.8
"6" "M" 79 101.3
"7" "F" 71 97.8
"8" "F" 73 97.4
"9" "F" 77 99.2
"10" "M" 81 99.2
"11" "M" 69 97.5
"12" "F" 70 97.7
"13" "F" 71 98.3
"14" "F" 74 98.8
"15" "F" 79 98.5
"16" "M" 73 97.3
"17" "F" 71 98.9
"18" "M" 77 98.6
"19" "F" 70 99.2
"20" "F" 69 97.9
"21" "F" 67 97.1
"22" "F" 67 97
"23" "F" 74 98.9
"24" "M" 77 99
"25" "F" 76 97.9
"26" "M" 79 98
"27" "M" 76 97
"28" "M" 61 97.6
"29" "M" 84 99
"30" "F" 67 97.8
"31" "F" 73 97.9
"32" "F" 81 100
"33" "M" 68 97.1
"34" "M" 76 98.9
"35" "M" 80 98.6
"36" "F" 68 97.7
"37" "F" 70 98.3
"38" "M" 79 98.9
"39" "F" 76 99.4
"40" "F" 75 98.6
"41" "M" 73 97.2
"42" "M" 72 98
"43" "F" 77 99.3
"44" "M" 81 99.4
"45" "M" 73 98.8
"46" "M" 64 98.5
"47" "F" 69 98.4
"48" "F" 80 98.6
"49" "F" 80 97
"50" "F" 67 98.2
"51" "M" 78 99.6
"52" "F" 73 98.9
"53" "M" 77 97.3
"54" "M" 66 96.5
"55" "F" 71 98.2
"56" "F" 78 99.3
"57" "F" 69 98.2
"58" "M" 72 97.8
"59" "F" 73 98.3
"60" "F" 73 97.4
"61" "F" 72 98.2
"62" "M" 75 98.3
"63" "M" 75 98.1
"64" "F" 68 98.8
"65" "M" 82 98.8
"66" "M" 67 97.7
"67" "F" 75 96.8
"68" "M" 78 98.3
"69" "M" 72 97.7
"70" "M" 80 99.1
"71" "F" 67 97.9
"72" "F" 80 98.3
"73" "M" 74 98.8
"74" "M" 78 97.4
"75" "M" 87 96.9
"76" "M" 74 98
"77" "F" 71 98.3
"78" "M" 69 98.4
"79" "F" 87 100.8
"80" "M" 81 100.3
"81" "M" 75 97
"82" "F" 83 99.2
"83" "F" 78 99.8
"84" "M" 70 99
"85" "F" 76 98.8
"86" "M" 78 100.6
"87" "M" 75 98
"88" "M" 75 98.5
"89" "F" 70 97.1
"90" "M" 72 97
"91" "F" 79 98.7
"92" "F" 78 99.9
"93" "M" 67 97
"94" "M" 63 98.6
"95" "F" 69 98.4
"96" "M" 69 97.8
"97" "F" 69 99.7
"98" "F" 79 98.7
"99" "F" 71 99.2
"100" "M" 62 97.3
"101" "M" 70 96.3
"102" "M" 71 96.7
"103" "M" 74 96.9
"104" "M" 80 97
"105" "M" 73 97.1
"106" "M" 75 97.1
"107" "M" 82 97.1
"108" "M" 64 97.2
"109" "M" 69 97.3
"110" "M" 70 97.4
"111" "M" 68 97.4
"112" "M" 72 97.4
"113" "M" 78 97.4
"114" "M" 70 97.5
"115" "M" 75 97.5
"116" "M" 74 97.6
"117" "M" 69 97.6
"118" "M" 73 97.6
"119" "M" 77 97.7
"120" "M" 58 97.8
"121" "M" 73 97.8
"122" "M" 65 97.8
"123" "M" 74 97.8
"124" "M" 76 97.9
"125" "M" 72 97.9
"126" "M" 78 98
"127" "M" 71 98
"128" "M" 74 98
"129" "M" 67 98
"130" "M" 64 98
"131" "M" 78 98
"132" "M" 73 98.1
"133" "M" 67 98.1
"134" "M" 66 98.2
"135" "M" 64 98.2
"136" "M" 71 98.2
"137" "M" 72 98.2
"138" "M" 86 98.3
"139" "M" 72 98.3
"140" "M" 68 98.4
"141" "M" 70 98.4
"142" "M" 82 98.4
"143" "M" 84 98.4
"144" "M" 68 98.5
"145" "M" 71 98.5
"146" "M" 77 98.6
"147" "M" 78 98.6
"148" "M" 83 98.6
"149" "M" 66 98.6
"150" "M" 70 98.6
"151" "M" 82 98.6
"152" "M" 73 98.7
"153" "M" 78 98.7
"154" "M" 78 98.8
"155" "M" 81 98.8
"156" "M" 78 98.8
"157" "M" 80 98.9
"158" "M" 75 99
"159" "M" 79 99
"160" "M" 81 99
"161" "M" 71 99.1
"162" "M" 83 99.2
"163" "M" 63 99.3
"164" "M" 70 99.4
"165" "M" 75 99.5
"166" "F" 69 96.4
"167" "F" 62 96.7
"168" "F" 75 96.8
"169" "F" 66 97.2
"170" "F" 68 97.2
"171" "F" 57 97.4
"172" "F" 61 97.6
"173" "F" 84 97.7
"174" "F" 61 97.7
"175" "F" 77 97.8
"176" "F" 62 97.8
"177" "F" 71 97.8
"178" "F" 68 97.9
"179" "F" 69 97.9
"180" "F" 79 97.9
"181" "F" 76 98
"182" "F" 87 98
"183" "F" 78 98
"184" "F" 73 98
"185" "F" 89 98
"186" "F" 81 98.1
"187" "F" 73 98.2
"188" "F" 64 98.2
"189" "F" 65 98.2
"190" "F" 73 98.2
"191" "F" 69 98.2
"192" "F" 57 98.2
"193" "F" 79 98.3
"194" "F" 78 98.3
"195" "F" 80 98.3
"196" "F" 79 98.4
"197" "F" 81 98.4
"198" "F" 73 98.4
"199" "F" 74 98.4
"200" "F" 84 98.4
"201" "F" 83 98.5
"202" "F" 82 98.6
"203" "F" 85 98.6
"204" "F" 86 98.6
"205" "F" 77 98.6
"206" "F" 72 98.7
"207" "F" 79 98.7
"208" "F" 59 98.7
"209" "F" 64 98.7
"210" "F" 65 98.7
"211" "F" 82 98.7
"212" "F" 64 98.8
"213" "F" 70 98.8
"214" "F" 83 98.8
"215" "F" 89 98.8
"216" "F" 69 98.8
"217" "F" 73 98.8
"218" "F" 84 98.8
"219" "F" 76 98.9
"220" "F" 79 99
"221" "F" 81 99
"222" "F" 80 99.1
"223" "F" 74 99.1
"224" "F" 77 99.2
"225" "F" 66 99.2
"226" "F" 68 99.3
"227" "F" 77 99.4
"228" "F" 79 99.9
"229" "F" 78 100
"230" "F" 77 100.8
